0001KELLY,GERARD        1111MA2320251
0002HUTCHISON,ANDREW    2211FI3611252
0012KEANE,MARY          1111FI3220101
0025JARVIS,NED          1122FR2110202
0125KINSELLA,BRIEN      1133DP2420451
0075LENNON,JOE          2233MP3940251
0088KENNY,ANN           2244PE1230751
0099DILLON,FINBARR      2255DP2310241
0067CURTIN,DAVID        2266DP4320231
0014REEVES,SEAN         2277PM2131151
0225POWER,CLAIRE        3311DP4520352
0200PUNCH,JUDY          3322SP1020151
0042WALSH,MICHAEL       3344TE1030121
0073STONE,WILBER        3355WP1110341
0154SHARPE,TOM          3366CO1230241
0033SEXTON,KAY          2255WS1230251
2114SHINE,BRENDAN       1111QA1430231
2280PARKHEAD,JOE        4456DP3120451
2151MURRAY,BERT         3355MA2100341
2134MULCAHY,ANGUS       1111WR1000241
0114MADIGAN,ELVIRA      2323QP5430671
2068LOWRY,JOHN          1313MS3220781
2306MAHON,JOHN          3355DS2310561
2311LYNCH,TIM           4433DP5320312
2077MATHEW,LUKE         3366DP1660371
2040MAJOR,MAJOR         7733MT1010481
4321HEFFERNAN,ALBERT    2244SW2030981
3465HOGAN,PAUL          3311TE1110151
0765LAMB,ROBERT         7733BS1231451
0876KIDNEY,JOAN         4433WS3210161
0932PANCREAS,TED        4444IT3450231
